,date,county,state,fips,cases,deaths,month,year
0,2021-06-01,Autauga,Alabama,1001.0,7220.5,112.7,6,2021
0,2021-06-01,Baldwin,Alabama,1003.0,21827.3,313.1333333333333,6,2021
0,2021-06-01,Barbour,Alabama,1005.0,2344.133333333333,59.266666666666666,6,2021
0,2021-06-01,Bibb,Alabama,1007.0,2677.9,64.0,6,2021
0,2021-06-01,Blount,Alabama,1009.0,6936.3,139.0,6,2021
0,2021-06-01,Bullock,Alabama,1011.0,1242.4,42.0,6,2021
0,2021-06-01,Butler,Alabama,1013.0,2238.6,71.0,6,2021
0,2021-06-01,Calhoun,Alabama,1015.0,14708.633333333333,326.53333333333336,6,2021
0,2021-06-01,Chambers,Alabama,1017.0,3717.5,123.76666666666667,6,2021
0,2021-06-01,Cherokee,Alabama,1019.0,1871.2,45.0,6,2021
0,2021-06-01,Chilton,Alabama,1021.0,4465.966666666666,115.7,6,2021
0,2021-06-01,Choctaw,Alabama,1023.0,618.0333333333333,25.0,6,2021
0,2021-06-01,Clarke,Alabama,1025.0,3528.8,61.0,6,2021
0,2021-06-01,Clay,Alabama,1027.0,1596.1333333333334,58.6,6,2021
0,2021-06-01,Cleburne,Alabama,1029.0,1527.6333333333334,43.53333333333333,6,2021
0,2021-06-01,Coffee,Alabama,1031.0,5630.533333333334,125.83333333333333,6,2021
0,2021-06-01,Colbert,Alabama,1033.0,6397.733333333334,139.46666666666667,6,2021
0,2021-06-01,Conecuh,Alabama,1035.0,1132.8666666666666,30.0,6,2021
0,2021-06-01,Coosa,Alabama,1037.0,1112.7,29.0,6,2021
0,2021-06-01,Covington,Alabama,1039.0,4263.333333333333,121.5,6,2021
0,2021-06-01,Crenshaw,Alabama,1041.0,1557.2333333333333,57.0,6,2021
0,2021-06-01,Cullman,Alabama,1043.0,9935.133333333333,200.26666666666668,6,2021
0,2021-06-01,Dale,Alabama,1045.0,4925.566666666667,115.06666666666666,6,2021
0,2021-06-01,Dallas,Alabama,1047.0,3606.0666666666666,156.23333333333332,6,2021
0,2021-06-01,DeKalb,Alabama,1049.0,8966.366666666667,189.1,6,2021
0,2021-06-01,Elmore,Alabama,1051.0,10293.866666666667,212.16666666666666,6,2021
0,2021-06-01,Escambia,Alabama,1053.0,4009.0666666666666,79.56666666666666,6,2021
0,2021-06-01,Etowah,Alabama,1055.0,14151.933333333332,362.56666666666666,6,2021
0,2021-06-01,Fayette,Alabama,1057.0,2177.5333333333333,62.266666666666666,6,2021
0,2021-06-01,Franklin,Alabama,1059.0,4307.166666666667,82.16666666666667,6,2021
0,2021-06-01,Geneva,Alabama,1061.0,2575.8,81.23333333333333,6,2021
0,2021-06-01,Greene,Alabama,1063.0,934.5666666666667,34.0,6,2021
0,2021-06-01,Hale,Alabama,1065.0,2266.233333333333,78.0,6,2021
0,2021-06-01,Henry,Alabama,1067.0,1942.3333333333333,43.266666666666666,6,2021
0,2021-06-01,Houston,Alabama,1069.0,10768.466666666667,287.4,6,2021
0,2021-06-01,Jackson,Alabama,1071.0,6932.133333333333,112.76666666666667,6,2021
0,2021-06-01,Jefferson,Alabama,1073.0,80881.03333333334,1561.7,6,2021
0,2021-06-01,Lamar,Alabama,1075.0,1464.0666666666666,37.03333333333333,6,2021
0,2021-06-01,Lauderdale,Alabama,1077.0,9588.466666666667,248.33333333333334,6,2021
0,2021-06-01,Lawrence,Alabama,1079.0,3119.8,100.0,6,2021
0,2021-06-01,Lee,Alabama,1081.0,16251.366666666667,174.93333333333334,6,2021
0,2021-06-01,Limestone,Alabama,1083.0,10174.133333333333,156.76666666666668,6,2021
0,2021-06-01,Lowndes,Alabama,1085.0,1419.3666666666666,53.86666666666667,6,2021
0,2021-06-01,Macon,Alabama,1087.0,1629.2,50.833333333333336,6,2021
0,2021-06-01,Madison,Alabama,1089.0,35632.166666666664,522.3333333333334,6,2021
